run	counts_per_mW3x3	numions	plotted	lin fit	residual
66	5825	1.32368	4160.714286	1985.52	-2175.194286
67	34576.8	35.3313	24697.71429	52996.95	28299.23571
69	2041.07	0	1457.907143	0	-1457.907143
70	30793.7	14.4311	21995.5	21646.65	-348.85
72	7955.42	2.66727	5682.442857	4000.905	-1681.537857
73	100912	56.132	72080	84198	12118
75	11177	5.49377	7983.571429	8240.655	257.0835714
76	117420	28.6632	83871.42857	42994.8	-40876.62857
78	-159.192	0	-113.7085714	0	113.7085714
79	62262.6	27.0708	44473.28571	40606.2	-3867.085714
81	4988.97	1.31373	3563.55	1970.595	-1592.955
82	93467.8	26.4736	66762.71429	39710.4	-27052.31429
84	2176.62	2.54784	1554.728571	3821.76	2267.031429
85	23019.1	4.89662	16442.21429	7344.93	-9097.284286
87	-2126.14	2.42841	-1518.671429	3642.615	5161.286429
88	12640	4.89662	9028.571429	7344.93	-1683.641429
90	3781.26	0	2700.9	0	-2700.9
91	716.261	1.31373	511.615	1970.595	1458.98
93	16557.2	1.26397	11826.57143	1895.955	-9930.616429
94	12193.3	9.2359	8709.5	13853.85	5144.35
96	11015.2	0.597149	7868	895.7235	-6972.2765
97	18312.8	18.213	13080.57143	27319.5	14238.92857
